School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
ALBANY CITY SCHOOL DISTRICT,WEST HILL MIDDLE SCHOOL,Albany,Public School,50,No,0,0,0,50,Yes,10/09/2016,47,3,Yes,Yes,12/05/2016,http://www.albanyschools.com/,010100010046,,,,,11/16/2016,12/07/2016,"(42.678066, -73.814233)",
BUFFALO CITY SCHOOLS,PS 204 LAFAYETTE HIGH SCHOOL,Erie,Public School,75,No,0,0,0,75,Yes,10/04/2016,64,11,Yes,Yes,11/02/2016,www.buffaloschools.org,140600010107,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 200 BENNETT HIGH SCHOOL,Erie,Public School,161,No,0,0,0,161,Yes,10/04/2016,158,3,Yes,Yes,11/11/2016,www.buffaloschools.org,140600010099,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 307 EAST HIGH SCHOOL,Erie,Public School,112,No,0,0,0,112,Yes,10/05/2016,100,12,Yes,Yes,11/10/2016,www.buffaloschools.org,140600010307,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 48 AT 39 SCHOOL,Erie,Public School,129,No,0,0,0,129,Yes,09/24/2016,119,10,Yes,Yes,11/02/2016,www.buffaloschools.org,140600010048,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 91 B.U.I.L.D. ACADEMY,Erie,Public School,107,No,0,0,0,107,Yes,09/24/2016,102,5,Yes,Yes,10/24/2016,www.buffaloschools.org,140600010032,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 90 DR. CHARLES R DREW EARLY CHILDHOOD CENTER,Erie,Public School,92,No,0,0,0,92,Yes,09/22/2016,91,1,Yes,Yes,11/14/2016,www.buffaloschools.org,140600010090,,,,,02/06/2017,01/20/2017,"(42.888143, -78.795544)",
CENTRAL SQUARE CENTRAL SCHOOL,CENTRAL SQUARE INTERMEDIATE SCHOOL,Oswego,Public School,87,No,32,0,0,50,Yes,09/29/2016,75,12,Yes,Yes,10/20/2016,http://www.cssd.org/,460801060003,,,,,11/08/2016,11/08/2016,"(43.39123, -76.31133)",
GLOVERSVILLE ENLARGED SCHOOL DISTRICT,MCNAB-MECO ELEMENTARY SCHOOL,Fulton,Public School,45,No,0,0,0,45,Yes,09/17/2016,40,5,Yes,Yes,10/06/2016,www.gesdk12.org,170500010006,,,,,11/09/2016,11/09/2016,"(43.06014, -74.331296)",
HUDSON CITY SCHOOLS,JOHN L EDWARDS SCHOOL,Columbia,Public School,102,No,0,0,0,102,Yes,09/28/2016,96,6,Yes,Yes,11/16/2016,hudsoncityschooldistrict.com,101300010002,,,,,12/30/2016,11/29/2016,"(42.276913, -73.682168)",
NYC DOE,K818,Kings,Public School,13,No,0,0,0,13,Yes,12/13/2016,13,0,No,Yes,12/22/2016,No website for building,K818,1106 EAST 95 STREET,Brooklyn,NY,,01/09/2017,01/09/2017,"(40.65642, -73.950691)","1106 EAST 95 STREET
Brooklyn, NY &iuml;&iquest;&frac12;11236"
OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,OTEGO ELEM SCHOOL,Otsego,Public School,34,No,0,0,0,34,Yes,10/26/2016,32,2,Yes,Yes,11/01/2016,www.Unatego.org,471601040002,,,,,11/09/2016,11/09/2016,"(42.564852, -75.060334)",
ROCHESTER CITY SCHOOLS,SCHOOL  1 MARTIN B ANDERSON,Monroe,Public School,47,No,39,0,0,4,Yes,10/10/2016,47,0,Yes,Yes,10/13/2016,rcsdk12.org,261600010001,,,,,01/03/2017,01/03/2017,"(43.161748, -77.620143)",
ROCHESTER CITY SCHOOLS,SCHOOL 16 JOHN WALTON SPENCER,Monroe,Public School,,No,,,,,No,,,,No,No,,,261600010016,321 POST AVE,ROCHESTER,NY,14619,,,"(43.161748, -77.620143)","321 POST AVE
ROCHESTER, NY 14619
(43.13963713600003, -77.64802161499995)"
SYRACUSE CITY SCHOOLS,GEORGE FOWLER H S,Onondaga,Public School,118,No,0,0,0,118,Yes,10/16/2016,114,4,Yes,Yes,01/05/2017,www.syracusecityschools.com,421800010049,,,,,11/10/2016,02/23/2017,"(43.065629, -76.168033)",
BOCES No District Name,ERIE 1 BOCES KENTON CAREER & TECH CENTER (LEAD ONLY),Erie,BOCES School,85,No,85,0,0,85,Yes,10/27/2016,85,0,Yes,Yes,10/27/2016,www.e1b.org,149100000009,151 TWO MILE CREEK ROAD,TONAWANDA,NY,14510,10/12/2018,10/12/2018,"(42.888143, -78.795544)","151 TWO MILE CREEK ROAD
TONAWANDA, NY 14510
(42.97978535200008, -78.90770083499996)"
DUNKIRK CITY SCHOOL DISTRICT,DUNKIRK MS,Chautauqua,Public School,100,No,0,0,0,100,Yes,10/29/2016,97,3,Yes,Yes,11/11/2016,www.dunkirkcsd.org,060800010010,525 EAGLE ST,DUNKIRK,NY,14048,11/04/2016,01/06/2017,"(42.246904, -79.315313)","525 EAGLE ST
DUNKIRK, NY 14048
(42.48021028000005, -79.33530538199994)"
BALDWINSVILLE CENTRAL SCHOOL,MAE E REYNOLDS SCHOOL,Onondaga,Public School,34,No,0,0,0,34,Yes,09/28/2016,30,4,Yes,Yes,09/13/2017,http://www.bville.org/teacherpage.cfm?teacher=953,420901060008,222 DEERWOOD DR,BALDWINSVILLE,NY,13027,09/27/2018,09/27/2018,"(43.065629, -76.168033)","222 DEERWOOD DR
BALDWINSVILLE, NY 13027
(43.13395365000008, -76.31335163199998)"
BOCES No District Name,ROCKLAND BOCES OCCUPATIONAL ED CENTER CLASSROOMS (LEAD ONLY),Rockland,BOCES School,10,No,0,0,0,10,Yes,10/24/2016,10,0,Yes,Yes,10/24/2016,https://www.rocklandboces.org/public-notification-of-lead-in-water-testing-resultsremediation-plans-for-rockland-boces/,509000000001,65 PARROTT ROAD,WEST NYACK,NY,10994,10/11/2018,10/11/2018,"(41.127287, -74.017033)","65 PARROTT ROAD
WEST NYACK, NY 10994
(41.12163055800005, -73.98050277299996)"
BOCES No District Name,WSWHE BOCES EDUCATIONAL SERVICES CENTER COMPLEX A-E (LEAD ONLY),Washington,BOCES School,92,No,84,0,0,92,Yes,10/08/2016,,,No,No,,www.wswheboces.org,649000000056,1051 DIX AVENUE,HUDSON FALLS,NY,12839,11/29/2018,,"(43.289513, -73.454761)","1051 DIX AVENUE
HUDSON FALLS, NY 12839
(43.31928024100006, -73.59208210099996)"
EAST ISLIP UNION FREE SCHOOL,CONNETQUOT ELEM SCHOOL,Suffolk,Public School,27,No,21,0,0,6,Yes,11/18/2016,27,0,Yes,Yes,06/01/2017,www.eischools.org,580503030001,1 MERRICK ST,ISLIP TERRACE,NY,11752,10/12/2018,10/12/2018,"(40.820237, -73.119032)","1 MERRICK ST
ISLIP TERRACE, NY 11752
(40.75494652500004, -73.17578609099996)"
ADDISON CENTRAL SCHOOL,VALLEY ELEM SCHOOL,Steuben,Public School,25,No,0,0,0,25,Yes,10/01/2016,0,0,Yes,No,,www.addisoncsd.org,570101040003,6786 CT. RT. 119,CAMERON MILLS,NY,14820,11/15/2016,11/15/2016,"(42.270053, -77.324618)","6786 CT. RT. 119
CAMERON MILLS, NY 14820
(42.18276745000003, -77.37592113599999)"
BOCES No District Name,GREATER SOUTHERN TIER BOCES STEM ACADEMY,Schuyler,BOCES School,,No,,,,,No,,,,No,No,,,559008065001,3634 GOFF ROAD,CORNING,NY,14830,,,"(42.38593, -76.872032)","3634 GOFF ROAD
CORNING, NY 14830
(42.145644778000076, -76.98172272499994)"
BELFAST CENTRAL SCHOOL DISTRICT,BELFAST SCHOOL,Allegany,Public School,26,No,0,0,0,26,Yes,09/26/2016,25,1,Yes,Yes,10/11/2016,http://www.belfast.wnyric.org/bcs-school-closing/lead-testing.html,020801040001,1 KING STREET,BELFAST,NY,14711,09/27/2018,10/25/2016,"(42.226801, -78.020567)","1 KING STREET
BELFAST, NY 14711
(42.34143597900004, -78.11644757899995)"
BOCES No District Name,MONROE 2 ORLEANS BOCES,Monroe,BOCES School,347,This school has one or more lead-free buildings,300,0,0,47,Yes,10/04/2016,300,47,Yes,Yes,10/17/2016,http://www.monroe2boces.org/Community.cfm,269200000000,3599 BIG RIDGE RD,SPENCERPORT,NY,14559,10/24/2016,11/10/2016,"(43.161748, -77.620143)","3599 BIG RIDGE RD
SPENCERPORT, NY 14559
(43.19515448900006, -77.79221401699994)"
BUFFALO CITY SCHOOLS,PS 305 MCKINLEY HIGH  SCHOOL,Erie,Public School,255,No,0,0,0,255,Yes,10/07/2016,238,17,Yes,Yes,11/11/2016,www.buffaloschools.org,140600010098,1500 ELMWOOD AVE,BUFFALO,NY,14207,01/20/2017,01/20/2017,"(42.888143, -78.795544)","1500 ELMWOOD AVE
BUFFALO, NY 14207
(42.93776827700003, -78.87862940599996)"
BUFFALO CITY SCHOOLS,PS 68 WESTMINSTER COMMUNITY CHARTER SCHOOL,Erie,Public School,58,No,0,0,0,58,Yes,09/24/2016,58,0,Yes,Yes,09/26/2016,www.buffaloschools.org,140600010068,24 WESTMINSTER ST,BUFFALO,NY,14215,01/26/2017,01/26/2017,"(42.888143, -78.795544)","24 WESTMINSTER ST
BUFFALO, NY 14215
(42.939603291000026, -78.81200194099995)"
BROCKPORT CENTRAL SCHOOL,BROCKPORT H S,Monroe,Public School,48,No,46,0,0,0,Yes,05/21/2016,46,2,Yes,Yes,06/22/2016,http://www.brockport.k12.ny.us/district.cfm?subpage=29375,261801060003,40 ALLEN ST,BROCKPORT,NY,14420,11/09/2016,11/09/2016,"(43.161748, -77.620143)","40 ALLEN ST
BROCKPORT, NY 14420
(43.20702836100003, -77.94553071199994)"
CHURCHVILLE CHILI CENTRAL SCHOOL,CHESTNUT RIDGE ELEM SCHOOL,Monroe,Public School,109,No,40,0,0,69,Yes,09/24/2016,109,0,No,Yes,02/08/2018,http://www.cccsd.org/Departments.cfm?subpage=22082,261501060002,3560 CHILI AVE,ROCHESTER,NY,14624,11/07/2016,08/10/2018,"(43.161748, -77.620143)","3560 CHILI AVE
ROCHESTER, NY 14624
(43.093204882000066, -77.78004857399998)"
BOCES No District Name,TOMPKINS-SENECA-TIOGA BOCES BUILDING E DARWIN C SMITH SCHOOL (LEAD ONLY),Tompkins,BOCES School,77,No,38,0,0,37,Yes,10/21/2016,74,3,Yes,Yes,12/08/2016,www.tstboces.org,619000000012,555 WARREN ROAD,ITHACA,NY,14850,09/19/2018,09/19/2018,"(42.461024, -76.478784)","555 WARREN ROAD
ITHACA, NY 14850
(42.47536866000007, -76.46630393399994)"
ALEXANDRIA CENTRAL ELEM. & HIGH SCHO,ALEXANDRIA CENTRAL HS,Jefferson,Public School,63,No,22,0,0,41,Yes,10/12/2016,51,12,Yes,Yes,12/27/2016,http://www.alexandriacentral.org/,220202040002,34 BOLTON AVENUE,ALEXANDRIA BAY,NY,13607,10/13/2016,12/29/2016,"(44.019295, -75.898971)","34 BOLTON AVENUE
ALEXANDRIA BAY, NY 13607
(44.336020681000036, -75.91078312999997)"
EAST IRONDEQUOIT CENTRAL SCHOOL,DURAND-EASTMAN SCHOOL,Monroe,Public School,70,No,70,0,0,0,Yes,05/04/2016,70,0,Yes,Yes,05/04/2016,http://www.eastiron.org/schools/,260801060009,95 POINT PLEASANT RD,ROCHESTER,NY,14622,10/26/2018,10/26/2018,"(43.161748, -77.620143)","95 POINT PLEASANT RD
ROCHESTER, NY 14622
(43.22382147600007, -77.54679339499995)"
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - CORTLAND ALTERNATIVE SCHOOL,Cortland,BOCES School,14,No,2,0,0,12,Yes,10/26/2016,14,0,No,Yes,12/15/2016,http://www.ocmboces.org/teacherpage.cfm?teacher=1493,110000008023,250 PORT WATSON ST,CORTLAND,NY,13045,12/08/2016,09/19/2018,"(42.597101, -76.143291)","250 PORT WATSON ST
CORTLAND, NY 13045
(42.59853251900006, -76.15850663699996)"
CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,SINCLAIRVILLE ES,Chautauqua,Public School,94,No,86,0,0,0,Yes,09/25/2016,87,8,Yes,Yes,11/23/2016,cvcougars.org,060401040003,43 SINCLAIR DR,SINCLAIRVILLE,NY,14782,10/11/2018,01/03/2017,"(42.246904, -79.315313)","43 SINCLAIR DR
SINCLAIRVILLE, NY 14782
(42.25796939700007, -79.26757874299994)"
BUFFALO CITY SCHOOLS,PS 32 BENNETT PARK MONTESSORI SCHOOL,Erie,Public School,127,No,0,0,0,127,Yes,09/23/2016,124,3,Yes,Yes,11/11/2016,www.buffaloschools.org,140600010122,342 CLINTON ST,BUFFALO,NY,14204,02/06/2017,01/20/2017,"(42.888143, -78.795544)","342 CLINTON ST
BUFFALO, NY 14204
(42.883328067000036, -78.86179293599997)"
BREWSTER CENTRAL SCHOOL,HENRY H WELLS MIDDLE SCHOOL,Putnam,Public School,126,No,3,0,0,126,Yes,10/17/2016,126,0,No,Yes,10/17/2016,brewsterschools.org/departments/facilities,480601060005,570 RT 312,BREWSTER,NY,10509,10/25/2016,10/28/2016,"(41.41131, -73.717443)","570 RT 312
BREWSTER, NY 10509
(41.434208375000026, -73.60342691499994)"
ADIRONDACK CENT SCH-BOONVILLE,WEST LEYDEN ELEM SCHOOL,Oneida,Public School,5,No,5,0,0,0,Yes,12/30/2015,18,8,Yes,Yes,04/12/2017,www.adirondackcsd.org,410401060002,1157 FISH CREEK ROAD,WEST LEYDEN,NY,13489,11/04/2016,04/18/2017,"(43.149482, -75.361773)","1157 FISH CREEK ROAD
WEST LEYDEN, NY 13489
(43.460125764000054, -75.46496458199994)"
ADIRONDACK CENT SCH-BOONVILLE,ADIRONDACK H S,Oneida,Public School,11,No,6,0,0,5,Yes,11/01/2016,10,1,Yes,Yes,03/06/2017,www.adirondackcsd.org,410401060005,8181 ST. RT. 294,BOONVILLE,NY,13309,11/04/2016,03/09/2017,"(43.149482, -75.361773)","8181 ST. RT. 294
BOONVILLE, NY 13309
(43.47711054100006, -75.34884900999998)"
BEDFORD CENTRAL SCHOOL,FOX LANE H S,Westchester,Public School,245,No,0,0,0,243,Yes,11/04/2016,243,2,Yes,Yes,11/09/2016,bcsdny.org,660102060006,632 S BEDFORD RD,BEDFORD,NY,10506,10/12/2018,09/26/2018,"(41.039278, -73.805386)","632 S BEDFORD RD
BEDFORD, NY 10506
(41.196508118000054, -73.66997000299995)"
BOCES No District Name,ERIE 2 BOCES HEWES EDUCATION CENTER B BLDG (LEAD ONLY),Erie,BOCES School,11,No,0,0,0,11,Yes,10/22/2016,9,2,Yes,Yes,01/18/2017,http://www.e2ccb.org/resources.cfm?subpage=1991408,149200000003,2165 NORTH MAPLE STREET,ASHVILLE,NY,14710,05/18/2017,05/18/2017,"(42.888143, -78.795544)","2165 NORTH MAPLE STREET
ASHVILLE, NY 14710
(42.09433311200007, -79.37502522399996)"
ALBANY CITY SCHOOL DISTRICT,EAGLE POINT ELEMENTARY SCHOOL,Albany,Public School,30,No,0,0,0,32,Yes,09/24/2016,30,0,No,Yes,11/10/2016,http://www.albanyschools.com/,010100010027,1055 WESTERN AVE,ALBANY,NY,12203,11/16/2016,11/16/2016,"(42.678066, -73.814233)","1055 WESTERN AVE
ALBANY, NY 12203
(42.67455680100005, -73.81706474499998)"
BABYLON UNION FREE SCHOOL,BABYLON ELEM SCHOOL,Suffolk,Public School,112,No,66,0,0,36,Yes,09/06/2017,112,0,Yes,Yes,09/06/2017,http://www.babylon.k12.ny.us/NewsAssets/40172/Water_Quality_Testing_as_Per_September_2016_New_State_Legislation.pdf,580101030003,171 RALPH AVE,BABYLON,NY,11702,09/27/2018,09/27/2018,"(40.820237, -73.119032)","171 RALPH AVE
BABYLON, NY 11702
(40.70536443000003, -73.33211847499996)"
BOCES No District Name,GREATER SOUTHERN TIER BOCES BUSH BLDG 9 (LEAD ONLY),Schuyler,BOCES School,2,No,2,0,0,0,Yes,04/22/2016,2,0,Yes,Yes,04/22/2016,www.gstboces.org,559000001017,459 PHILIO ROAD,ELMIRA,NY,14903,10/24/2017,10/24/2017,"(42.38593, -76.872032)","459 PHILIO ROAD
ELMIRA, NY 14903
(42.14863870200003, -76.83491748599994)"
BOCES No District Name,EASTERN SUFFOLK BOCES BROOKHAVEN LEARNING CTR WEST (LEAD ONLY),Suffolk,BOCES School,33,No,5,0,0,27,Yes,01/10/2018,33,0,Yes,Yes,01/10/2018,https://www.esboces.org/domain/345,581000000058,351 MARTHA AVE,BELLPORT,NY,11713,09/27/2018,09/27/2018,"(40.820237, -73.119032)","351 MARTHA AVE
BELLPORT, NY 11713
(40.78613147300007, -72.95122330099997)"
BOCES No District Name,NASSAU BOCES JOESPH M BARRY CAREER & TECH CENTER (LEAD ONLY),Nassau,BOCES School,72,No,56,0,0,16,Yes,04/06/2017,72,0,Yes,Yes,01/23/2018,www.nassauboces.org,289000000030,1196 PROSPECT AVE,WESTBURY,NY,11590,10/11/2018,10/11/2018,"(40.715749, -73.601185)","1196 PROSPECT AVE
WESTBURY, NY 11590
(40.76428249300005, -73.55257447199995)"
BOCES No District Name,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES ALBANY CENTER BLDG C (LEAD ONLY),Albany,BOCES School,10,No,0,0,0,10,Yes,02/01/2018,10,0,Yes,Yes,03/26/2018,https://www.capitalregionboces.org/,019000000009,1015 WATERVLIET SHAKER ROAD,ALBANY,NY,12205,10/11/2018,10/11/2018,"(42.678066, -73.814233)","1015 WATERVLIET SHAKER ROAD
ALBANY, NY 12205
(42.743313529000034, -73.83742323699994)"
ALBANY CITY SCHOOL DISTRICT,PINE HILLS ELEMENTARY SCHOOL,Albany,Public School,49,No,0,0,0,49,Yes,09/24/2016,49,0,No,Yes,11/10/2016,http://www.albanyschools.com/,010100010016,41 N ALLEN ST,ALBANY,NY,12203,11/16/2016,11/16/2016,"(42.678066, -73.814233)","41 N ALLEN ST
ALBANY, NY 12203
(42.667720419000034, -73.79070854499997)"
CENTRAL VALLEY SCHOOL DISTRICT,CENTRAL VALLEY ACADEMY,Herkimer,Public School,274,No,0,0,0,274,Yes,05/09/2017,232,42,Yes,Yes,06/02/2017,http://www.cvalleycsd.org/lead-testing/,212101040005,111 FREDERICK ST.,ILION,NY,13357,06/08/2017,06/08/2017,"(43.070026, -74.994246)","111 FREDERICK ST.
ILION, NY 13357
(43.00585624900003, -75.04105677799998)"
CORNWALL CENTRAL SCHOOL DISTRICT,CORNWALL MIDDLE SCHOOL,Orange,Public School,108,No,0,0,0,108,Yes,09/28/2016,78,30,Yes,Yes,11/14/2016,www.cornwallschools.com,440301060005,122 MAIN ST,CORNWALL,NY,12518,11/16/2016,11/16/2016,"(41.422459, -74.241929)","122 MAIN ST
CORNWALL, NY 12518
(41.44458756100005, -74.02942445699995)"
CLIFTON FINE CENTRAL SCHOOL DISTRICT,CLIFTON-FINE ELEMENTARY,Saint Lawrence,Public School,37,No,0,0,0,37,Yes,09/27/2016,35,2,Yes,Yes,05/31/2017,http://www.cliftonfine.org/education/school/school.php?sectionid=2,510401040002,MAIN ST,STAR LAKE,NY,13690,12/21/2016,09/25/2018,"(44.689468, -75.242045)","MAIN ST
STAR LAKE, NY 13690
(44.13652367100008, -74.92437977899993)"
BOCES No District Name,BOCES CATT-ALLEG-ERIE-WYOMING,Cattaraugus,BOCES School,174,No,0,0,0,174,Yes,10/24/2016,170,4,Yes,Yes,01/13/2017,http://www.caboces.org/management/esf,049000000000,1825 WINDFALL RD,OLEAN,NY,14760,01/27/2017,01/19/2017,"(42.224267, -78.606673)","1825 WINDFALL RD
OLEAN, NY 14760
(42.094088697000075, -78.40637839699997)"
ALBANY CITY SCHOOL DISTRICT,GIFFEN MEMORIAL SCHOOL,Albany,Public School,146,No,0,0,0,146,Yes,09/26/2016,123,23,Yes,Yes,11/10/2016,http://www.albanyschools.com/,010100010029,274 S PEARL ST,ALBANY,NY,12202,11/16/2016,11/16/2016,"(42.678066, -73.814233)","274 S PEARL ST
ALBANY, NY 12202
(42.64163264200005, -73.75686978499994)"
CORNING PAINTED POST AREA SCHOOL DISTRICT,ERWIN VALLEY ELEM SCHOOL,Steuben,Public School,56,No,0,0,0,56,Yes,10/19/2016,56,0,No,Yes,12/31/2016,www.corningareaschools.com,571000010005,R D 1,PAINTED POST,NY,14870,11/03/2016,01/03/2017,"(42.270053, -77.324618)","R D 1
PAINTED POST, NY 14870
(42.160127200000034, -77.08845979999995)"
COMMACK UNION FREE SCHOOL,WOOD PARK SCHOOL,Suffolk,Public School,112,No,58,0,0,46,Yes,10/06/2016,110,2,Yes,Yes,01/12/2017,http://www.commackschools.org/default.aspx,580410030014,15 NEW HGWY,COMMACK,NY,11725,10/19/2018,10/19/2018,"(40.820237, -73.119032)","15 NEW HGWY
COMMACK, NY 11725
(40.82829798500006, -73.29079729499995)"
CHAPPAQUA CENTRAL SCHOOL,SEVEN BRIDGES MIDDLE SCHOOL,Westchester,Public School,112,No,0,0,0,112,Yes,09/23/2016,101,11,Yes,Yes,10/03/2016,http://www.ccsd.ws/files/filesystem/ChappaquaExceedanceTables.pdf,661004060006,222 SEVEN BRIDGES RD,CHAPPAQUA,NY,10514,11/02/2016,11/02/2016,"(41.039278, -73.805386)","222 SEVEN BRIDGES RD
CHAPPAQUA, NY 10514
(41.205552615000045, -73.76951827999994)"
DUNKIRK CITY SCHOOL DISTRICT,SCHOOL  5,Chautauqua,Public School,43,No,0,0,0,43,Yes,09/28/2016,43,0,No,Yes,10/11/2016,www.dunkirkcsd.org,060800010005,117 BRIGHAM RD,DUNKIRK,NY,14048,11/04/2016,11/04/2016,"(42.246904, -79.315313)","117 BRIGHAM RD
DUNKIRK, NY 14048
(42.48439156000006, -79.34600922499999)"
BOCES No District Name,DUTCHESS BOCES CAREER & TECHNICAL INSTITUTE @ SALT POINT CAMPUS,Dutchess,BOCES School,,No,,,,,No,,,,No,No,,,139000000002,"5 BOCES ROAD, BLDG #25",POUGHKEEPSIE,NY,12601,,,"(41.686216, -73.840468)","5 BOCES ROAD, BLDG #25
POUGHKEEPSIE, NY 12601
(41.74388438400007, -73.86648502399999)"
BOCES No District Name,ORANGE ULSTER BOCES EMANUEL AXELROD EDUCATION CENTER (LEAD ONLY),Orange,BOCES School,160,No,0,0,0,160,Yes,10/26/2016,155,5,Yes,Yes,11/07/2016,www.ouboces.org,449000000009,103 GIBSON ROAD,GOSHEN,NY,10924,10/30/2018,10/03/2018,"(41.422459, -74.241929)","103 GIBSON ROAD
GOSHEN, NY 10924
(41.38770455100007, -74.35504305899997)"
BOCES No District Name,ST LAWRENCE - LEWIS BOCES,Saint Lawrence,BOCES School,258,No,234,0,0,258,Yes,10/31/2016,234,24,Yes,Yes,01/12/2017,www.sllboces.org,519000000000,40 WEST MAIN STREET,CANTON,NY,13617,10/16/2018,01/24/2017,"(44.689468, -75.242045)","40 WEST MAIN STREET
CANTON, NY 13617
(44.59469444700005, -75.18138218699994)"
BOCES No District Name,EASTERN SUFFOLK BOCES HB WARD CAMPUS BLDG 1 (LEAD ONLY),Suffolk,BOCES School,33,No,4,0,0,28,Yes,03/30/2017,33,0,Yes,Yes,03/30/2017,https://www.esboces.org/domain/345,581000000001,970 NORTH GRIFFING AVE,RIVERHEAD,NY,11901,10/26/2018,10/26/2018,"(40.820237, -73.119032)","970 NORTH GRIFFING AVE
RIVERHEAD, NY 11901
(40.927534355000034, -72.67315514699999)"
DANSVILLE CENTRAL SCHOOL,DANSVILLE PRIMARY SCHOOL,Livingston,Public School,29,No,1,0,0,28,Yes,09/26/2016,29,0,Yes,Yes,11/07/2016,www.dansvillecsd.org,241001060004,284 MAIN ST,DANSVILLE,NY,14437,12/21/2016,10/22/2018,"(42.763754, -77.765392)","284 MAIN ST
DANSVILLE, NY 14437
(42.56881526400008, -77.70369853699998)"
BOCES No District Name,ERIE 2 BOCES LOGUDICE EDUCATIONAL CENTER B BLDG (LEAD ONLY),Erie,BOCES School,16,No,0,0,0,16,Yes,10/22/2016,16,0,Yes,Yes,12/09/2016,http://www.e2ccb.org/resources.cfm?subpage=1991408,149200000014,9520 FREDONIA STOCKTON ROAD,FREDONIA,NY,14063,05/18/2017,05/18/2017,"(42.888143, -78.795544)","9520 FREDONIA STOCKTON ROAD
FREDONIA, NY 14063
(42.41488853100003, -79.31267862999994)"
EAST MEADOW UNION FREE SCHOOL,PARKWAY SCHOOL,Nassau,Public School,31,No,13,0,0,18,Yes,08/26/2017,31,0,Yes,Yes,09/07/2017,eastmeadow.k12.ny.us,280203030006,465 BELLMORE RD,EAST MEADOW,NY,11554,10/01/2018,10/01/2018,"(40.715749, -73.601185)","465 BELLMORE RD
EAST MEADOW, NY 11554
(40.712413010000034, -73.53198671199993)"
ALBANY CITY SCHOOL DISTRICT,ALBANY H S,Albany,Public School,233,No,0,0,0,233,Yes,10/15/2016,180,53,Yes,Yes,12/05/2016,http://www.albanyschools.com/,010100010034,700 WASHINGTON AVE,ALBANY,NY,12203,11/16/2016,12/07/2016,"(42.678066, -73.814233)","700 WASHINGTON AVE
ALBANY, NY 12203
(42.66665269500004, -73.78048546699995)"
BOCES No District Name,ERIE 2 BOCES HEWES EDUCATION CENTER T BLDG (LEAD ONLY),Erie,BOCES School,21,No,0,0,0,21,Yes,10/22/2016,13,8,Yes,Yes,01/16/2017,http://www.e2ccb.org/resources.cfm?subpage=1991408,149200000011,2165 NORTH MAPLE STREET,ASHVILLE,NY,14710,05/18/2017,05/18/2017,"(42.888143, -78.795544)","2165 NORTH MAPLE STREET
ASHVILLE, NY 14710
(42.09433311200007, -79.37502522399996)"
CORNING PAINTED POST AREA SCHOOL DISTRICT,WINFIELD STREET ES,Steuben,Public School,59,No,0,0,0,59,Yes,10/13/2016,59,0,Yes,Yes,02/01/2017,www.corningareaschools.com,571000010013,194 WINFIELD ST,CORNING,NY,14830,12/05/2016,02/01/2017,"(42.270053, -77.324618)","194 WINFIELD ST
CORNING, NY 14830
(42.16142154200003, -77.06842468599996)"
AMITYVILLE UNION FREE SCHOOL,NORTHEAST SCHOOL,Suffolk,Public School,29,No,29,0,0,0,Yes,05/21/2016,29,0,Yes,Yes,09/21/2016,http://www.amityvilleufsd.org,580106030001,420 ALBANY AVE,AMITYVILLE,NY,11701,10/29/2018,10/12/2018,"(40.820237, -73.119032)","420 ALBANY AVE
AMITYVILLE, NY 11701
(40.69556069600003, -73.41099438899994)"
BINGHAMTON CITY SCHOOL DISTRICT,BENJAMIN FRANKLIN ES,Broome,Public School,25,No,22,0,0,3,Yes,04/18/2017,25,0,No,Yes,09/28/2018,http://www.binghamtonschools.org/district/required_notifications/water_testing_documents,030200010005,262 CONKLIN AVE,BINGHAMTON,NY,13903,10/31/2018,10/31/2018,"(42.122015, -75.933191)","262 CONKLIN AVE
BINGHAMTON, NY 13903
(42.09561961400004, -75.89116842099997)"
BELLMORE UNION FREE SCHOOL,WINTHROP AVENUE SCHOOL,Nassau,Public School,141,No,20,0,0,121,Yes,09/26/2018,141,0,Yes,Yes,12/05/2017,www.bellmoreschools.org,280207020003,580 WINTHROP AVE,BELLMORE,NY,11710,10/22/2018,10/22/2018,"(40.715749, -73.601185)","580 WINTHROP AVE
BELLMORE, NY 11710
(40.66496736200003, -73.52486022599999)"
